Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Machines.PipeBending.Monitoring.SpindleMonitoring_1.Name","ns=7;i=6069",String,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.SpindleMonitoring_1.Override","ns=7;i=6070",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.SpindleMonitoring_2.IsRotating","ns=7;i=6051",Boolean,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.SpindleMonitoring_2.Name","ns=7;i=6050",String,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.SpindleMonitoring_2.Override","ns=7;i=6052",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.SpindleMonitoring_3.IsRotating","ns=7;i=6054",Boolean,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.SpindleMonitoring_3.Name","ns=7;i=6053",String,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.SpindleMonitoring_3.Override","ns=7;i=6055",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.SpindleMonitoring_4.IsRotating","ns=7;i=6057",Boolean,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.SpindleMonitoring_4.Name","ns=7;i=6056",String,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.SpindleMonitoring_4.Override","ns=7;i=6058",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_1.NumberInList","ns=7;i=6032",Word,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_1.SignalColor","ns=7;i=6031",Long,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.Stacklight.StackLight_1.SignalOn","ns=7;i=6033",Boolean,1,R/W,100,,,,,,,,,,"",
